Date_Opened,Change_Control,Days_Open
10/,21293,0
10/,21293,0
10/,21293,0
10/,21293,0
10/,21293,0
10/,21293,0
10/,21293,0
10/,21293,0
10/,21294,101
10/,21295,8
10/,21295,8
10/,21295,8
10/,21296,0
10/,21297,0
10/,21298,1
10/,21299,0
10/,21299,0
10/1,21300,0
10/1,21301,1
10/1,21302,0
10/1,21303,0
10/1,21304,0
10/1,21304,0
10/1,21304,0
10/1,21305,1
10/1,21305,1
10/1,21306,0
10/1,21306,0
10/1,21306,0
10/2,21307,0
10/2,21308,0
10/2,21309,0
10/2,21310,1
10/2,21310,1
10/2,21311,0
10/2,21312,0
10/2,21313,0
10/2,21314,0
10/2,21315,0
11/,21316,3
11/,21317,0
11/,21318,0
11/,21319,1
11/,21320,19
11/,21321,0
11/,21322,5
11/,21323,1
11/,21324,1
11/,21325,3
11/,21326,3
11/,21327,2
11/,21328,0
11/,21329,1
11/1,21330,0
11/1,21331,0
11/1,21332,0
11/1,21333,0
11/1,21334,1
11/1,21335,0
11/1,21335,0
11/1,21336,1
11/1,21336,1
11/1,21337,1
11/1,21338,0
11/1,21339,3
11/2,21340,0
11/2,21341,1
11/2,21342,1
11/2,21342,1
11/2,21343,1
11/2,21343,1
11/2,21344,7
11/2,21345,6
11/2,21346,3
11/2,21347,2
11/2,21347,2
11/3,21348,1
12/,21349,2
12/,21350,2
12/,21351,1
12/,21352,1
12/,21353,1
12/,21354,1
12/,21355,0
12/,21355,0
12/,21355,0
12/,21355,0
12/,21355,0
12/,21355,0
12/,21356,1
12/,21357,1
12/,21357,1
12/,21358,1
12/,21358,1
12/1,21359,0
12/1,21360,0
12/1,21360,0
12/1,21361,0
12/1,21362,0
12/1,21363,3
12/1,21364,0
12/1,21364,0
12/1,21365,0
12/1,21365,0
12/1,21366,0
12/1,21367,1
12/1,21368,1
12/1,21369,1
12/1,21370,0
12/1,21370,0
12/1,21370,0
12/1,21371,1
12/1,21372,2
12/1,21372,2
12/1,21373,2
12/1,21373,2
12/1,21374,1
12/1,21374,1
12/1,21375,4
12/1,21376,3
12/1,21377,3
12/2,21378,0
12/2,21378,0
12/2,21378,0
12/2,21378,0
12/2,21379,0
12/2,21380,2
12/2,21381,0
12/2,21382,0
12/2,21383,1
12/2,21383,1
12/2,21384,1
12/2,21385,5
1/,22386,1
1/,22386,1
1/,22387,0
1/,22388,2
1/,22389,5
1/,22389,5
1/,22390,2
1/,22391,1
1/,22392,1
1/,22393,1
1/,22394,4
1/1,22395,1
1/1,22396,0
1/1,22397,0
1/1,22398,0
1/1,22399,0
1/1,22399,0
1/1,22399,0
1/1,22400,1
1/1,22400,1
1/1,22401,1
1/1,22401,1
1/1,22402,12
1/1,22403,1
1/1,22404,1
1/1,22405,4
1/1,22406,5
1/1,22407,4
1/1,22408,1
1/1,22409,0
1/1,22410,2
1/1,22411,0
1/2,22412,0
1/2,22413,2
1/2,22414,1
1/2,22415,3
1/3,22416,0
2/,22417,2
2/,22418,2
2/,22419,0
2/,22420,1
2/,22420,1
2/,22421,0
2/,22421,0
2/,22421,0
2/,22422,1
2/1,22423,0
2/1,22424,0
2/1,22425,1
2/1,22426,0
2/1,22426,0
2/1,22427,0
2/1,22427,0
